sku,model,mae,mse,rmse,mape
SKU_01,moving_avg_7,4.719472789115646,36.262329931972786,6.021821147458033,27.139386481232304
SKU_01,naive,6.181547619047619,61.64702380952381,7.851561870705969,33.80055870943918
SKU_01,ridge_recursive,6.634935703831728,67.8449431686425,8.236804184187124,36.52663927985404
SKU_02,moving_avg_7,26.497448979591834,1072.3270408163266,32.74640500599,10.517399218963943
SKU_02,naive,33.54761904761905,1716.365476190476,41.42904145874577,13.713581847948902
SKU_02,ridge_recursive,25.0503378792515,1024.039496104137,32.00061712067655,10.705739613000603
SKU_03,moving_avg_7,1112.5108843537414,2003412.6105442178,1415.4195881590088,16.07012145023263
SKU_03,naive,1375.452380952381,2938885.038095238,1714.3176596229878,19.600657782819617
SKU_03,ridge_recursive,783.2654676067256,1842824.5926392972,1357.506756019762,10.423766640798393
SKU_04,moving_avg_7,182.41505102040819,80640.87780612244,283.9733751711988,11.226962271704775
SKU_04,naive,195.68392857142857,112978.70297619047,336.1230473743068,11.876745641624709
SKU_04,ridge_recursive,215.52571686352036,103771.84257777543,322.13637264018394,13.4142894648378
SKU_05,moving_avg_7,112.09651360544217,29356.018962585036,171.3359826848553,29.332734038940316
SKU_05,naive,149.6577380952381,53038.55773809524,230.3010154951455,32.68422102091581
SKU_05,ridge_recursive,116.9182847835559,33201.57819295282,182.21300226096056,34.02383706200163
